q (nm^-1);I (a.u.)
0.001;0.999920003
0.001023293;0.999916233
0.001047129;0.999912285
0.001071519;0.999908151
0.001096478;0.999903823
0.001122018;0.99989929
0.001148154;0.999894544
0.001174898;0.999889574
0.001202264;0.999884371
0.001230269;0.999878921
0.001258925;0.999873215
0.00128825;0.999867241
0.001318257;0.999860984
0.001348963;0.999854433
0.001380384;0.999847573
0.001412538;0.99984039
0.00144544;0.999832868
0.001479108;0.999824992
0.001513561;0.999816745
0.001548817;0.999808109
0.001584893;0.999799066
0.00162181;0.999789598
0.001659587;0.999779683
0.001698244;0.9997693
0.001737801;0.999758429
0.001778279;0.999747045
0.001819701;0.999735125
0.001862087;0.999722643
0.001905461;0.999709574
0.001949845;0.999695888
0.001995262;0.999681558
0.002041738;0.999666552
0.002089296;0.99965084
0.002137962;0.999634387
0.002187762;0.999617159
0.002238721;0.999599119
0.002290868;0.99958023
0.002344229;0.99956045
0.002398833;0.999539739
0.002454709;0.999518052
0.002511886;0.999495343
0.002570396;0.999471565
0.002630268;0.999446666
0.002691535;0.999420595
0.002754229;0.999393296
0.002818383;0.99936471
0.002884032;0.999334779
0.002951209;0.999303437
0.003019952;0.999270619
0.003090295;0.999236256
0.003162278;0.999200274
0.003235937;0.999162598
0.003311311;0.999123147
0.003388442;0.999081839
0.003467369;0.999038585
0.003548134;0.998993294
0.003630781;0.998945871
0.003715352;0.998896215
0.003801894;0.998844221
0.003890451;0.998789779
0.003981072;0.998732774
0.004073803;0.998673086
0.004168694;0.998610587
0.004265795;0.998545147
0.004365158;0.998476627
0.004466836;0.998404882
0.004570882;0.99832976
0.004677351;0.998251103
0.004786301;0.998168745
0.004897788;0.998082511
0.005011872;0.997992221
0.005128614;0.997897682
0.005248075;0.997798697
0.005370318;0.997695055
0.005495409;0.997586539
0.005623413;0.997472919
0.005754399;0.997353957
0.005888437;0.997229401
0.006025596;0.997098989
0.00616595;0.996962446
0.006309573;0.996819486
0.006456542;0.996669808
0.006606934;0.996513095
0.00676083;0.99634902
0.00691831;0.996177237
0.007079458;0.995997385
0.00724436;0.995809087
0.007413102;0.995611947
0.007585776;0.995405553
0.007762471;0.99518947
0.007943282;0.994963247
0.008128305;0.99472641
0.008317638;0.994478462
0.00851138;0.994218886
0.008709636;0.993947139
0.008912509;0.993662653
0.009120108;0.993364835
0.009332543;0.993053062
0.009549926;0.992726686
0.009772372;0.992385027
0.01;0.992027374
0.01023293;0.991652984
0.010471285;0.99126108
0.010715193;0.990850847
0.010964782;0.990421437
0.011220185;0.98997196
0.011481536;0.989501488
0.011748976;0.989009048
0.012022644;0.988493625
0.012302688;0.987954158
0.012589254;0.987389537
0.012882496;0.986798602
0.013182567;0.986180143
0.013489629;0.985532892
0.013803843;0.984855527
0.014125375;0.984146667
0.014454398;0.983404868
0.014791084;0.982628623
0.015135612;0.981816357
0.015488166;0.980966426
0.015848932;0.980077115
0.016218101;0.979146633
0.016595869;0.978173109
0.016982437;0.977154594
0.017378008;0.976089051
0.017782794;0.974974358
0.018197009;0.9738083
0.018620871;0.972588567
0.019054607;0.971312754
0.019498446;0.969978349
0.019952623;0.968582739
0.020417379;0.967123199
0.020892961;0.965596893
0.021379621;0.964000865
0.021877616;0.962332041
0.022387211;0.960587219
0.022908677;0.958763071
0.023442288;0.956856132
0.023988329;0.954862803
0.024547089;0.952779343
0.025118864;0.950601865
0.025703958;0.948326332
0.02630268;0.945948556
0.026915348;0.943464189
0.027542287;0.940868725
0.028183829;0.938157491
0.028840315;0.935325649
0.029512092;0.932368188
0.030199517;0.929279925
0.030902954;0.9260555
0.031622777;0.922689374
0.032359366;0.91917583
0.033113112;0.915508968
0.033884416;0.911682706
0.034673685;0.90769078
0.035481339;0.903526747
0.036307805;0.899183981
0.037153523;0.89465568
0.03801894;0.889934869
0.038904514;0.885014403
0.039810717;0.879886972
0.040738028;0.87454511
0.041686938;0.868981205
0.042657952;0.863187506
0.043651583;0.857156136
0.044668359;0.850879109
0.045708819;0.844348341
0.046773514;0.837555675
0.047863009;0.830492897
0.048977882;0.823151763
0.050118723;0.815524024
0.051286138;0.807601459
0.052480746;0.799375904
0.05370318;0.790839296
0.054954087;0.781983706
0.056234133;0.772801394
0.057543994;0.763284848
0.058884366;0.753426849
0.060255959;0.743220523
0.0616595;0.732659408
0.063095734;0.721737525
0.064565423;0.710449449
0.066069345;0.698790396
0.067608298;0.686756305
0.069183097;0.67434393
0.070794578;0.661550942
0.072443596;0.64837603
0.074131024;0.634819009
0.075857758;0.620880941
0.077624712;0.606564246
0.079432823;0.591872835
0.081283052;0.576812233
0.083176377;0.561389711
0.085113804;0.545614423
0.087096359;0.529497536
0.089125094;0.513052369
0.091201084;0.496294522
0.09332543;0.479242007
0.095499259;0.461915369
0.097723722;0.444337801
0.1;0.426535251
0.102329299;0.408536501
0.104712855;0.390373251
0.107151931;0.372080159
0.10964782;0.353694868
0.112201845;0.335258006
0.114815362;0.316813137
0.117489755;0.298406692
0.120226443;0.280087837
0.123026877;0.261908308
0.125892541;0.243922183
0.128824955;0.226185597
0.131825674;0.208756395
0.134896288;0.191693719
0.138038426;0.175057523
0.141253754;0.158908019
0.144543977;0.143305048
0.147910839;0.128307382
0.151356125;0.113971961
0.154881662;0.100353056
0.158489319;0.08750139
0.16218101;0.075463211
0.165958691;0.064279328
0.169824365;0.05398415
0.173780083;0.044604718
0.177827941;0.036159791
0.181970086;0.028658977
0.186208714;0.022101977
0.190546072;0.016477953
0.19498446;0.011765069
0.199526231;0.007930235
0.204173794;0.00492911
0.208929613;0.002706371
0.213796209;0.001196313
0.218776162;0.000323778
0.223872114;5.44E-06
0.229086765;0.000151455
0.234422882;0.000667455
0.239883292;0.001456852
0.245470892;0.002423417
0.251188643;0.003474051
0.257039578;0.004521649
0.263026799;0.005487948
0.26915348;0.006306222
0.27542287;0.006923663
0.281838293;0.007303295
0.28840315;0.007425266
0.295120923;0.007287358
0.301995172;0.00690462
0.309029543;0.006308019
0.316227766;0.005542115
0.323593657;0.004661797
0.331131121;0.003728216
0.338844156;0.002804141
0.34673685;0.001949024
0.354813389;0.001214178
0.363078055;0.000638463
0.371535229;0.00024494
0.380189396;3.89E-05
0.389045145;7.47E-06
0.398107171;0.000121375
0.407380278;0.00033815
0.416869383;0.00060728
0.426579519;0.000876338
0.436515832;0.001097591
0.446683592;0.00123417
0.45708819;0.001264922
0.467735141;0.001187083
0.478630092;0.001016201
0.489778819;0.000783093
0.501187234;0.000528123
0.512861384;0.000293641
0.52480746;0.000115862
0.537031796;1.78E-05
0.549540874;4.59E-06
0.562341325;6.30E-05
0.575439937;0.000164742
0.588843655;0.000273442
0.602559586;0.000354195
0.616595002;0.00038255
0.630957344;0.000350969
0.645654229;0.000270511
0.660693448;0.000166916
0.676082975;7.20E-05
0.691830971;1.27E-05
0.707945784;1.91E-06
0.72443596;3.42E-05
0.741310241;8.81E-05
0.758577575;0.000135535
0.776247117;0.000153387
0.794328235;0.000133742
0.812830516;8.69E-05
0.831763771;3.58E-05
0.851138038;4.13E-06
0.87096359;3.79E-06
0.891250938;2.87E-05
0.912010839;5.89E-05
0.933254301;7.31E-05
0.954992586;6.18E-05
0.977237221;3.33E-05
1;7.39E-06
